freq,tra_type,c_unload,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AL,TOTAL,THS_T,BG	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AL,TOTAL,THS_T,CY	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,TOTAL,THS_T,CZ	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AL,TOTAL,THS_T,DE	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,TOTAL,THS_T,EL	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u
A,HIRE,AL,TOTAL,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AL,TOTAL,THS_T,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AL,TOTAL,THS_T,HR	: 	: u	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,TOTAL,THS_T,HU	: 	: u	: 	: 	: u	: u	: u	: 	: 	: 	: 	: u	: u	: u	: u
A,HIRE,AL,TOTAL,THS_T,IT	: 	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AL,TOTAL,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	14 	: u	4 	5 	: u	: 
A,HIRE,AL,TOTAL,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AL,TOTAL,THS_T,NL	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,TOTAL,THS_T,RO	: 	: u	: 	: u	: u	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AL,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,HIRE,AL,TOTAL,THS_T,SI	: 	: u	: 	: 	: u	: 	: 	: u	: 	: u	: u	: 	: u	: u	: u
A,HIRE,AM,GT01,THS_T,EL	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT04,THS_T,LT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT04,THS_T,PL	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT05,THS_T,EL	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT05,THS_T,SI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT08,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AM,GT08,THS_T,SI	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AM,GT09,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,HIRE,AM,GT10,THS_T,EL	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT11,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AM,GT11,THS_T,EL	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT12,THS_T,BG	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT12,THS_T,LT	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT13,THS_T,BG	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT13,THS_T,SI	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AM,GT15,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
