freq,tra_type,c_unload,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,XK,TOTAL,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,HIRE,XK,TOTAL,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 	: 
A,HIRE,XK,TOTAL,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,OWN,AD,GT01,THS_T,ES	: 	: 	: u	: 	: 	: u	: 	: u	: u	: u	: 	: u	: 	: u	: u
A,OWN,AD,GT03,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AD,GT04,THS_T,ES	18 	: 	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: 	: 	: u
A,OWN,AD,GT06,THS_T,ES	: 	: 	: u	: 	: u	: 	: 	: u	: 	: 	: 	: 	: u	: u	: u
A,OWN,AD,GT08,THS_T,ES	: u	: 	: 	: u	: 	: 	: u	: u	: 	: u	: 	: u	: 	: 	: 
A,OWN,AD,GT09,THS_T,ES	: u	: u	: 	: 	: 	: u	: u	: u	: 	: 	: 	: u	: 	: u	: u
A,OWN,AD,GT10,THS_T,ES	: 	: 	: u	: u	: 	: u	: u	: 	: u	: u	: 	: u	: 	: u	: u
A,OWN,AD,GT11,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AD,GT12,THS_T,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AD,TOTAL,THS_T,ES	56 	: u	: u	: u	: u	24 	: u	15 	: u	: u	: 	: u	: u	51 	36 
A,OWN,AL,GT01,THS_T,AT	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,AL,GT01,THS_T,EL	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AL,GT01,THS_T,HU	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AL,GT01,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,OWN,AL,GT01,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 
A,OWN,AL,GT01,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,OWN,AL,GT03,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,GT04,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,GT04,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,OWN,AL,GT04,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,OWN,AL,GT05,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,AL,GT05,THS_T,IT	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: u	: 	: u	: 
A,OWN,AL,GT05,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,GT06,THS_T,AT	: 	: 	: 	: 	: 	: u	: 	: u	: 	: u	: 	: 	: 	: 	: u
A,OWN,AL,GT07,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,OWN,AL,GT08,THS_T,EL	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AL,GT09,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,OWN,AL,GT09,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AL,GT10,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AL,GT10,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,OWN,AL,GT10,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,OWN,AL,GT11,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,OWN,AL,GT11,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AL,GT11,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,GT13,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,OWN,AL,GT13,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AL,GT13,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,GT18,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,GT18,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,OWN,AL,GT20,THS_T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AL,GT20,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,TOTAL,THS_T,AT	: 	: 	: 	: 	: 	: u	: 	: u	: 	: u	: 	: 	: 	: 	: u
A,OWN,AL,TOTAL,THS_T,EL	: 	: 	: u	: 	: 	: 	: u	: u	: 	: u	: 	: 	: 	: 	: 
A,OWN,AL,TOTAL,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AL,TOTAL,THS_T,HU	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AL,TOTAL,THS_T,IT	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: u	: 	: u	: 
A,OWN,AL,TOTAL,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 
A,OWN,AL,TOTAL,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	15 	: 
A,OWN,AL,TOTAL,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,OWN,AT,GT01,THS_T,AT	: u	2 	: u	: u	: u	: u	2 	: u	: u	3 	: u	: u	: 	: u	: 
A,OWN,AT,GT01,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,OWN,AT,GT01,THS_T,CH	: 	: u	: u	: 	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 	: 
A,OWN,AT,GT01,THS_T,CZ	: u	: u	: u	145 	49 	: u	194 	99 	185 	102 	88 	: u	246 	167 	101 
A,OWN,AT,GT01,THS_T,DE	370 	301 	283 	301 	123 	285 	139 	149 	107 	137 	199 	172 	137 	144 	109 
A,OWN,AT,GT01,THS_T,DK	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT01,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AT,GT01,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u
A,OWN,AT,GT01,THS_T,HU	62 	235 	111 	119 	78 	30 	85 	102 	45 	61 	28 	32 	37 	29 	20 
A,OWN,AT,GT01,THS_T,IT	: u	: u	: u	: u	: 	: u	: u	: 	21 	15 	19 	: u	: 	17 	7 
A,OWN,AT,GT01,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT01,THS_T,NL	22 	43 	: u	: u	20 	: u	18 	16 	: u	8 	11 	6 	: u	: u	24 
A,OWN,AT,GT01,THS_T,PL	: u	: u	: u	: u	: u	: u	: u	49 	: 	: u	: u	: 	: 	: u	: u
A,OWN,AT,GT01,THS_T,RO	: 	: 	: u	: 	: 	: u	: u	: u	: 	: u	: 	: 	: 	: u	: u
A,OWN,AT,GT01,THS_T,SI	78 	157 	76 	101 	69 	185 	92 	193 	272 	332 	141 	152 	324 	231 	287 
A,OWN,AT,GT01,THS_T,SK	: u	: u	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: 	: u	: 
A,OWN,AT,GT02,THS_T,AT	: 	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: u	: 
A,OWN,AT,GT02,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AT,GT02,THS_T,SK	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT03,THS_T,AT	: 	: 	: 	: u	: 	: 	: u	: u	: u	: u	: 	: 	: u	: u	: 
A,OWN,AT,GT03,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,OWN,AT,GT03,THS_T,CH	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT03,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 
A,OWN,AT,GT03,THS_T,DE	797 	414 	218 	258 	84 	229 	141 	477 	163 	459 	209 	300 	494 	103 	: u
A,OWN,AT,GT03,THS_T,HR	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: u	102 	81 	: u
A,OWN,AT,GT03,THS_T,HU	98 	109 	: u	: u	92 	82 	: u	: u	: u	: u	: u	: 	: 	: 	: u
A,OWN,AT,GT03,THS_T,IT	: 	: 	: u	: 	: u	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 
A,OWN,AT,GT03,THS_T,LI	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT03,THS_T,LU	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT03,THS_T,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,OWN,AT,GT03,THS_T,PT	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT03,THS_T,RO	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AT,GT03,THS_T,SI	: u	: u	57 	: u	: u	: u	: u	135 	: u	: u	54 	: u	105 	: u	: 
A,OWN,AT,GT03,THS_T,SK	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 
A,OWN,AT,GT04,THS_T,AT	: u	2 	5 	: u	: u	: u	: u	4 	3 	: u	: u	11 	7 	: u	7 
A,OWN,AT,GT04,THS_T,BE	: 	: u	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT04,THS_T,CH	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT04,THS_T,CZ	: u	: 	: 	: u	: u	: u	: 	: u	: 	: 	: 	: 	: u	: u	: u
A,OWN,AT,GT04,THS_T,DE	175 	158 	154 	265 	145 	116 	217 	145 	240 	256 	165 	194 	180 	116 	223 
A,OWN,AT,GT04,THS_T,HR	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: u	: u	: 
A,OWN,AT,GT04,THS_T,HU	21 	24 	: u	40 	: u	25 	: u	: u	11 	20 	7 	9 	: u	23 	6 
A,OWN,AT,GT04,THS_T,IT	15 	: u	: u	: u	: u	: u	9 	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,AT,GT04,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AT,GT04,THS_T,NL	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	7 	: u	6 
A,OWN,AT,GT04,THS_T,PL	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: 	: u
A,OWN,AT,GT04,THS_T,RO	: 	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u
A,OWN,AT,GT04,THS_T,SI	: u	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: 	: 	: 
A,OWN,AT,GT04,THS_T,SK	: 	: 	: 	: u	: u	: u	: 	: 	: 	: u	: u	: u	: 	: 	: u
A,OWN,AT,GT05,THS_T,AT	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: u
A,OWN,AT,GT05,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT05,THS_T,CZ	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: u
A,OWN,AT,GT05,THS_T,DE	: u	: u	: u	: 	: 	: u	: u	: u	: 	: u	: 	: 	: 	: u	: u
A,OWN,AT,GT05,THS_T,HR	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT05,THS_T,HU	: 	: u	: 	15 	: 	: u	: 	15 	5 	14 	: 	4 	: u	9 	: 
A,OWN,AT,GT05,THS_T,IT	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT05,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT05,THS_T,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,OWN,AT,GT05,THS_T,PL	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT05,THS_T,RO	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u
A,OWN,AT,GT05,THS_T,SI	: u	: u	: 	: 	: u	: 	: u	: u	: 	: 	: 	: u	: 	: 	: 
A,OWN,AT,GT05,THS_T,SK	: u	: u	: 	: u	: 	: u	: u	: 	: 	26 	29 	: u	5 	: 	: 
A,OWN,AT,GT05,THS_T,UK	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT06,THS_T,AT	1 	5 	1 	2 	: u	: u	2 	5 	6 	7 	1 	: u	: u	: u	: u
A,OWN,AT,GT06,THS_T,CZ	54 	87 	: 	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,AT,GT06,THS_T,DE	367 	223 	419 	239 	236 	83 	73 	156 	79 	110 	130 	206 	110 	175 	117 
A,OWN,AT,GT06,THS_T,HR	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: u	: u	: u	: u
A,OWN,AT,GT06,THS_T,HU	: u	: u	: u	: u	65 	47 	79 	55 	83 	140 	51 	59 	62 	17 	50 
A,OWN,AT,GT06,THS_T,IT	10 	6 	: 	: u	: u	: 	: 	: u	21 	: u	: u	: u	: u	: u	: u
A,OWN,AT,GT06,THS_T,LI	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT06,THS_T,LU	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT06,THS_T,LV	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT06,THS_T,NL	: 	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT06,THS_T,PL	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: u	: u	: u	: u
A,OWN,AT,GT06,THS_T,PT	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT06,THS_T,RO	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u
A,OWN,AT,GT06,THS_T,SI	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: 	: 	: 
A,OWN,AT,GT06,THS_T,SK	: u	: 	: 	: 	: u	: 	: u	: u	: 	: 	: u	: u	: 	: 	: 
A,OWN,AT,GT07,THS_T,AT	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: u
A,OWN,AT,GT07,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,OWN,AT,GT07,THS_T,CH	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT07,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u
A,OWN,AT,GT07,THS_T,DE	: u	102 	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: u	: u	: u
A,OWN,AT,GT07,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AT,GT07,THS_T,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,AT,GT07,THS_T,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,OWN,AT,GT07,THS_T,SI	: 	: 	: 	: u	: 	: 	: u	: 	: u	: u	: 	: u	: u	: 	: 
A,OWN,AT,GT07,THS_T,SK	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT08,THS_T,AT	: 	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: u	: 
A,OWN,AT,GT08,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT08,THS_T,CH	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT08,THS_T,CZ	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT08,THS_T,DE	203 	229 	85 	64 	36 	: u	42 	55 	51 	: u	: u	: u	49 	63 	30 
A,OWN,AT,GT08,THS_T,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,OWN,AT,GT08,THS_T,HR	: 	: 	: 	: u	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u
A,OWN,AT,GT08,THS_T,HU	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	1 
A,OWN,AT,GT08,THS_T,IT	: 	: u	: u	: 	: 	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT08,THS_T,LT	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT08,THS_T,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u
A,OWN,AT,GT08,THS_T,NL	: u	: 	: 	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: u
A,OWN,AT,GT08,THS_T,PL	: u	: u	: 	: u	: u	: u	: 	: u	: 	: 	: u	: u	: u	: u	: u
A,OWN,AT,GT08,THS_T,RO	: 	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT08,THS_T,SE	: 	: 	: 	: u	: u	: 	: 	: 	: u	: u	: u	: u	: u	: u	: u
A,OWN,AT,GT08,THS_T,SI	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,OWN,AT,GT08,THS_T,SK	: u	: u	: 	: 	: 	: u	: 	: u	: 	: u	: u	: 	: u	: u	: u
A,OWN,AT,GT08,THS_T,UK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT09,THS_T,AT	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,AT,GT09,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT09,THS_T,CH	: u	: 	: u	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AT,GT09,THS_T,CZ	: 	: 	: u	: u	: u	: u	: 	: u	: u	: 	: u	: 	76 	: 	: u
A,OWN,AT,GT09,THS_T,DE	163 	216 	209 	185 	205 	184 	189 	112 	164 	135 	63 	410 	175 	208 	259 
A,OWN,AT,GT09,THS_T,HR	: 	: 	: 	: u	: 	: 	: u	: u	: u	: u	: u	24 	: u	: u	: u
A,OWN,AT,GT09,THS_T,HU	: u	: u	: 	: u	14 	13 	: u	: u	: 	: u	: u	: 	: 	: u	83 
A,OWN,AT,GT09,THS_T,IT	: u	: u	61 	38 	: u	: 	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,OWN,AT,GT09,THS_T,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,OWN,AT,GT09,THS_T,NL	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT09,THS_T,PL	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: u	: u	: u	: 
A,OWN,AT,GT09,THS_T,RO	: u	: u	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT09,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,OWN,AT,GT09,THS_T,SI	: 	: u	: u	: u	18 	: u	22 	: u	: u	: u	: u	: u	28 	: u	: u
A,OWN,AT,GT09,THS_T,SK	: u	: 	: u	: u	: 	: u	: u	: u	: u	: u	: u	: 	: u	: u	: 
A,OWN,AT,GT10,THS_T,AT	: u	: u	: 	: u	: u	: u	: u	5 	3 	: 	: u	: u	: u	4 	: u
A,OWN,AT,GT10,THS_T,CH	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: u
A,OWN,AT,GT10,THS_T,CZ	: u	: u	: u	: 	: u	: u	: 	: 	78 	75 	: u	: u	: u	20 	: 
A,OWN,AT,GT10,THS_T,DE	97 	64 	106 	77 	62 	61 	92 	38 	79 	152 	45 	127 	53 	106 	65 
A,OWN,AT,GT10,THS_T,HR	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: u	: u	: u	: u	: u
A,OWN,AT,GT10,THS_T,HU	: u	: u	: u	: u	: u	: u	48 	: u	: u	19 	: u	: u	: 	: u	: u
A,OWN,AT,GT10,THS_T,IT	: u	: u	: u	: u	: u	11 	12 	22 	: u	: u	: u	: u	: 	48 	: u
A,OWN,AT,GT10,THS_T,LI	: 	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT10,THS_T,LU	: 	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT10,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,OWN,AT,GT10,THS_T,NL	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT10,THS_T,NO	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT10,THS_T,PL	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,OWN,AT,GT10,THS_T,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: u
A,OWN,AT,GT10,THS_T,SI	6 	6 	: u	: u	29 	5 	: u	4 	3 	: u	: u	9 	: u	: u	: u
A,OWN,AT,GT10,THS_T,SK	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: 	: u	: 	: u
A,OWN,AT,GT11,THS_T,AT	: 	: 	: 	: u	: 	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT11,THS_T,CH	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT11,THS_T,CZ	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u
A,OWN,AT,GT11,THS_T,DE	42 	: u	44 	: u	25 	: u	: u	: u	: u	19 	: u	: u	: u	: u	: u
A,OWN,AT,GT11,THS_T,HR	: u	: 	: 	: 	: 	: u	: 	: 	: u	: u	: 	: 	: u	: 	: 
A,OWN,AT,GT11,THS_T,HU	15 	22 	18 	5 	13 	: u	14 	4 	: u	: u	: u	: u	: u	: u	: 
A,OWN,AT,GT11,THS_T,IT	: 	: 	: 	: 	: u	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 
A,OWN,AT,GT11,THS_T,NL	: 	: u	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT11,THS_T,PL	: 	: 	: 	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: u	: 
A,OWN,AT,GT11,THS_T,RO	: 	: 	: 	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: 
A,OWN,AT,GT11,THS_T,SI	: u	: 	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u
A,OWN,AT,GT11,THS_T,SK	: 	: 	: u	: 	: 	: 	: u	: 	: u	: u	: 	: u	: 	: u	: 
A,OWN,AT,GT12,THS_T,CZ	: u	: 	: u	: 	: 	: u	: 	: u	: u	: 	: u	: 	: u	: 	: u
A,OWN,AT,GT12,THS_T,DE	49 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,AT,GT12,THS_T,HU	: u	: u	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u	: 	: u	: 
A,OWN,AT,GT12,THS_T,IT	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,OWN,AT,GT12,THS_T,LU	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT12,THS_T,NL	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: u	: 	: 
A,OWN,AT,GT12,THS_T,PL	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
A,OWN,AT,GT12,THS_T,PT	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,AT,GT12,THS_T,RO	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u
A,OWN,AT,GT12,THS_T,SI	: 	: 	: 	: 	: u	: u	: 	: u	: 	: 	: 	: u	: 	: 	: 
