freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HIRE,AT,GT03,THS_T,AT	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,BE	: 	: 	: u	: 	: 	: u	: u	: u	: u	: u	: 	: u	: 	: 	: u
A,HIRE,AT,GT03,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,HIRE,AT,GT03,THS_T,CH	105 	: u	96 	: u	: u	: 	: 	: u	: u	185 	: u	: u	: u	: 	: u
A,HIRE,AT,GT03,THS_T,CZ	: u	: u	: u	100 	84 	: u	128 	183 	79 	: u	165 	: u	195 	118 	79 
A,HIRE,AT,GT03,THS_T,DE	412 	380 	609 	457 	363 	263 	467 	217 	606 	481 	1072 	703 	544 	1263 	474 
A,HIRE,AT,GT03,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,HR	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT03,THS_T,HU	73 	40 	296 	232 	125 	99 	72 	314 	226 	56 	100 	204 	122 	141 	50 
A,HIRE,AT,GT03,THS_T,IT	: 	: u	: 	: 	: u	: u	: u	: u	: 	: u	: u	: u	116 	: u	: u
A,HIRE,AT,GT03,THS_T,LI	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,LU	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,HIRE,AT,GT03,THS_T,NL	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AT,GT03,THS_T,PL	: 	: u	: u	: 	: u	: u	: 	: u	: u	: 	: u	: u	: u	: u	: u
A,HIRE,AT,GT03,THS_T,PT	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT03,THS_T,RO	: 	: 	: 	: 	: u	: u	: u	: 	: u	: 	: 	: u	: 	: u	: 
A,HIRE,AT,GT03,THS_T,SI	207 	: u	120 	56 	: u	: u	97 	88 	95 	62 	72 	: u	92 	509 	176 
A,HIRE,AT,GT03,THS_T,SK	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT04,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT04,THS_T,BE	: 	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u
A,HIRE,AT,GT04,THS_T,BG	: 	: 	: 	: 	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u	: u
A,HIRE,AT,GT04,THS_T,CH	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: u	: u	: u
A,HIRE,AT,GT04,THS_T,CY	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 
A,HIRE,AT,GT04,THS_T,CZ	154 	105 	157 	102 	141 	285 	169 	268 	141 	147 	: u	: u	102 	233 	166 
A,HIRE,AT,GT04,THS_T,DE	641 	587 	754 	735 	772 	794 	781 	700 	673 	807 	1038 	787 	868 	961 	885 
A,HIRE,AT,GT04,THS_T,DK	: u	: 	: u	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,HIRE,AT,GT04,THS_T,EE	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,HIRE,AT,GT04,THS_T,EL	: 	: u	: u	: u	: 	: u	: u	: u	: u	: 	: 	: u	: u	: u	: 
A,HIRE,AT,GT04,THS_T,ES	: u	: u	: u	: u	: 	: u	: u	: u	: 	: u	: 	: u	: u	: u	: 
A,HIRE,AT,GT04,THS_T,FR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 
A,HIRE,AT,GT04,THS_T,HR	86 	47 	: u	37 	57 	71 	98 	77 	100 	140 	140 	127 	57 	133 	112 
A,HIRE,AT,GT04,THS_T,HU	141 	207 	235 	343 	182 	296 	276 	241 	243 	314 	297 	228 	253 	290 	205 
A,HIRE,AT,GT04,THS_T,IE	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT04,THS_T,IT	111 	: u	172 	240 	: u	: u	103 	: u	: u	: u	: u	248 	: u	123 	111 
A,HIRE,AT,GT04,THS_T,LI	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,HIRE,AT,GT04,THS_T,LT	: u	: u	: u	: u	: u	: 	: 	: 	: u	: 	: u	: u	: u	: 	: u
A,HIRE,AT,GT04,THS_T,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,HIRE,AT,GT04,THS_T,LV	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: u
A,HIRE,AT,GT04,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 
A,HIRE,AT,GT04,THS_T,NL	: u	: u	: u	33 	29 	: u	: u	38 	: u	: u	40 	: u	: u	: 	: u
A,HIRE,AT,GT04,THS_T,PL	: u	: u	: u	: u	: u	: u	: u	: u	176 	162 	231 	: u	: u	: u	: u
