freq,tra_type,c_load,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,OWN,WORLD,GT06,THS_T,SI	: u	47 	: u	: u	47 	46 	: u	: u	54 	: u	: u	79 	: u	45 	: u
A,OWN,WORLD,GT06,THS_T,SK	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: 	: u	: 	: u	: u
A,OWN,WORLD,GT06,THS_T,UK	: u	: u	: u	: u	22 	66 	48 	144 	: u	: u	: u	: u	: 	: 	: 
A,OWN,WORLD,GT07,THS_T,AT	274 	119 	175 	239 	353 	186 	466 	232 	512 	434 	359 	409 	305 	297 	292 
A,OWN,WORLD,GT07,THS_T,BE	: u	36 	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: 	: 	: 
A,OWN,WORLD,GT07,THS_T,BG	: 	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u	: 	: u	: u	: 
A,OWN,WORLD,GT07,THS_T,CH	: 	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u	: u	: u	: u	: 
A,OWN,WORLD,GT07,THS_T,CZ	90 	69 	85 	63 	100 	155 	54 	371 	107 	: u	66 	128 	: u	63 	: u
A,OWN,WORLD,GT07,THS_T,DE	356 	264 	230 	338 	263 	255 	377 	475 	304 	314 	321 	246 	273 	204 	198 
A,OWN,WORLD,GT07,THS_T,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,WORLD,GT07,THS_T,EE	: 	: 	: 	: 	: 	: u	: u	: 	: u	: 	: u	: 	: u	: 	: 
A,OWN,WORLD,GT07,THS_T,EL	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT07,THS_T,ES	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT07,THS_T,FR	: u	: u	127 	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u
A,OWN,WORLD,GT07,THS_T,HR	: u	: u	: u	138 	91 	: 	47 	: u	: u	: u	: 	111 	157 	: u	: 
A,OWN,WORLD,GT07,THS_T,HU	: u	: 	35 	: u	24 	: u	47 	74 	38 	38 	72 	: 	: 	268 	26 
A,OWN,WORLD,GT07,THS_T,IE	203 	58 	38 	: u	71 	55 	76 	119 	30 	29 	46 	70 	111 	: u	: 
A,OWN,WORLD,GT07,THS_T,IT	: 	: u	: u	: 	: 	21 	: u	: 	: 	: 	: u	: 	: u	: u	: 
A,OWN,WORLD,GT07,THS_T,LT	6 	: u	4 	3 	: u	: u	: u	: u	: u	: u	: 	: u	: 	: 	: 
A,OWN,WORLD,GT07,THS_T,LU	32 	56 	56 	79 	97 	153 	111 	254 	467 	560 	420 	709 	891 	653 	140 
A,OWN,WORLD,GT07,THS_T,LV	: u	: u	: u	: u	: 	: 	: u	31 	: 	: u	: 	: 	: 	: u	: u
A,OWN,WORLD,GT07,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: 	: 
A,OWN,WORLD,GT07,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48 	59 	: 
A,OWN,WORLD,GT07,THS_T,NL	37 	70 	141 	170 	40 	57 	66 	41 	: u	276 	55 	22 	117 	26 	: u
A,OWN,WORLD,GT07,THS_T,NO	: 	: u	: u	: u	2 	5 	4 	: u	: 	: 	: u	: 	: u	: u	: u
A,OWN,WORLD,GT07,THS_T,PL	: u	168 	242 	222 	199 	340 	122 	: u	336 	606 	232 	333 	: u	: u	449 
A,OWN,WORLD,GT07,THS_T,PT	: 	: 	: 	: 	107 	: u	: u	: u	: u	116 	74 	66 	: u	75 	: u
A,OWN,WORLD,GT07,THS_T,RO	: u	76 	: u	: u	35 	40 	: u	51 	60 	62 	51 	78 	73 	51 	93 
A,OWN,WORLD,GT07,THS_T,SI	66 	81 	62 	86 	71 	: u	70 	65 	55 	: u	62 	: u	: u	: u	: u
A,OWN,WORLD,GT07,THS_T,SK	: u	: 	: u	: 	: u	: 	: u	: 	: u	: u	169 	: u	192 	: u	: 
A,OWN,WORLD,GT07,THS_T,UK	: 	: 	: u	: 	: u	: u	: 	: u	: u	: u	: 	: u	: 	: 	: 
A,OWN,WORLD,GT08,THS_T,AT	40 	72 	67 	81 	44 	: u	93 	32 	81 	: u	20 	: u	40 	58 	41 
A,OWN,WORLD,GT08,THS_T,BE	273 	319 	230 	441 	156 	322 	263 	435 	: u	: u	: u	197 	: u	: 	160 
A,OWN,WORLD,GT08,THS_T,BG	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: u	: u	: u	: u
A,OWN,WORLD,GT08,THS_T,CH	: u	: u	25 	: u	75 	: u	: u	: u	: u	: u	33 	: u	: u	: u	: u
A,OWN,WORLD,GT08,THS_T,CZ	: u	: u	49 	64 	: u	29 	58 	66 	: u	: u	: u	: u	: u	189 	52 
A,OWN,WORLD,GT08,THS_T,DE	558 	623 	373 	469 	443 	282 	214 	374 	208 	214 	130 	188 	200 	473 	107 
A,OWN,WORLD,GT08,THS_T,DK	: u	: 	: u	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,WORLD,GT08,THS_T,EE	: 	: u	: u	: u	: 	: 	: 	: u	: 	: u	: u	: 	: 	: u	: u
A,OWN,WORLD,GT08,THS_T,EL	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT08,THS_T,ES	: u	: u	: 	: u	: u	: 	: u	: 	: u	: 	: 	: u	: u	: u	: u
A,OWN,WORLD,GT08,THS_T,FR	: u	49 	241 	159 	28 	: u	201 	272 	112 	89 	109 	: u	153 	133 	80 
A,OWN,WORLD,GT08,THS_T,HR	42 	: u	32 	: u	: u	35 	: u	24 	16 	: u	: u	44 	: u	: u	: u
A,OWN,WORLD,GT08,THS_T,HU	33 	76 	55 	42 	34 	31 	36 	28 	19 	26 	29 	46 	: u	21 	: u
A,OWN,WORLD,GT08,THS_T,IE	: 	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u	: 	: u	: u	: 
A,OWN,WORLD,GT08,THS_T,IT	: u	: 	: u	: u	: 	: 	: u	47 	: u	: u	: u	: u	: 	: 	: 
A,OWN,WORLD,GT08,THS_T,LT	8 	7 	: u	: u	: u	: u	20 	19 	: u	: 	: 	: u	: u	: u	: 
A,OWN,WORLD,GT08,THS_T,LU	: u	: u	13 	: u	: u	13 	27 	40 	60 	70 	71 	98 	164 	52 	68 
A,OWN,WORLD,GT08,THS_T,LV	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT08,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: 	: u	: u	: 
A,OWN,WORLD,GT08,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,OWN,WORLD,GT08,THS_T,NL	208 	183 	225 	260 	729 	717 	548 	637 	709 	611 	511 	375 	393 	337 	444 
A,OWN,WORLD,GT08,THS_T,NO	8 	: u	: u	: 	: 	: u	21 	51 	: u	: u	54 	: 	: u	: u	: u
A,OWN,WORLD,GT08,THS_T,PL	107 	118 	220 	242 	231 	171 	549 	301 	338 	160 	407 	456 	389 	266 	345 
A,OWN,WORLD,GT08,THS_T,PT	: u	: u	30 	24 	63 	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u
A,OWN,WORLD,GT08,THS_T,RO	: u	50 	: u	: u	: u	30 	: u	39 	41 	103 	68 	51 	79 	61 	: u
A,OWN,WORLD,GT08,THS_T,SE	: u	: 	: 	: u	: u	: u	: 	: 	: u	45 	33 	98 	67 	73 	79 
A,OWN,WORLD,GT08,THS_T,SI	33 	32 	70 	39 	26 	41 	145 	38 	30 	84 	58 	20 	32 	65 	: u
A,OWN,WORLD,GT08,THS_T,SK	43 	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	49 	: u	: u	: u
A,OWN,WORLD,GT08,THS_T,UK	: u	: u	: 	: u	60 	42 	43 	98 	81 	175 	128 	17 	: 	: 	: 
A,OWN,WORLD,GT09,THS_T,AT	169 	65 	144 	123 	161 	60 	120 	168 	123 	158 	189 	114 	81 	392 	215 
A,OWN,WORLD,GT09,THS_T,BE	84 	466 	93 	248 	87 	60 	54 	608 	273 	355 	: u	217 	127 	: u	147 
A,OWN,WORLD,GT09,THS_T,BG	102 	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT09,THS_T,CH	149 	129 	163 	447 	492 	216 	411 	534 	185 	483 	180 	621 	285 	130 	258 
A,OWN,WORLD,GT09,THS_T,CZ	139 	89 	80 	76 	88 	40 	: u	81 	: u	: u	: u	: 	29 	: u	53 
A,OWN,WORLD,GT09,THS_T,DE	599 	543 	409 	380 	394 	455 	348 	271 	253 	259 	327 	86 	187 	119 	113 
A,OWN,WORLD,GT09,THS_T,DK	: 	: 	: 	: 	: 	: u	: 	: u	: 	: u	: 	: 	: 	: 	: 
A,OWN,WORLD,GT09,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 
A,OWN,WORLD,GT09,THS_T,ES	: u	: 	: u	: u	29 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT09,THS_T,FR	448 	167 	146 	230 	778 	360 	551 	715 	770 	1833 	444 	680 	416 	515 	219 
A,OWN,WORLD,GT09,THS_T,HR	62 	61 	156 	61 	67 	: u	: u	89 	: u	: u	: u	: u	82 	: u	: 
A,OWN,WORLD,GT09,THS_T,HU	47 	49 	41 	28 	46 	10 	12 	39 	: u	48 	: u	48 	: u	24 	34 
A,OWN,WORLD,GT09,THS_T,IE	351 	202 	36 	: u	: u	: u	: u	24 	: u	29 	37 	43 	67 	: u	: u
A,OWN,WORLD,GT09,THS_T,IT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: 	: 
A,OWN,WORLD,GT09,THS_T,LT	48 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u
A,OWN,WORLD,GT09,THS_T,LU	85 	121 	99 	120 	217 	190 	116 	91 	135 	95 	125 	177 	117 	271 	332 
A,OWN,WORLD,GT09,THS_T,LV	: u	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,OWN,WORLD,GT09,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: u	10 	: 
A,OWN,WORLD,GT09,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24 	50 	: 
A,OWN,WORLD,GT09,THS_T,NL	465 	243 	456 	276 	540 	762 	672 	538 	342 	466 	277 	562 	365 	315 	495 
A,OWN,WORLD,GT09,THS_T,NO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: u	: 	: 
A,OWN,WORLD,GT09,THS_T,PL	456 	252 	901 	248 	105 	83 	356 	156 	218 	199 	: u	: u	: u	: u	308 
A,OWN,WORLD,GT09,THS_T,PT	135 	110 	98 	102 	98 	: u	: u	47 	38 	: u	61 	170 	61 	70 	: u
A,OWN,WORLD,GT09,THS_T,RO	92 	83 	200 	64 	96 	75 	51 	71 	63 	105 	60 	82 	100 	71 	72 
A,OWN,WORLD,GT09,THS_T,SE	: u	: 	: 	: u	: u	: u	: u	: u	: 	: u	: 	: 	: 	: u	: u
A,OWN,WORLD,GT09,THS_T,SI	153 	54 	177 	86 	140 	78 	195 	96 	247 	196 	: u	182 	103 	227 	: u
A,OWN,WORLD,GT09,THS_T,SK	64 	: u	: u	: u	: u	: u	: u	93 	: u	: u	: u	97 	: u	: u	79 
A,OWN,WORLD,GT09,THS_T,UK	: u	: u	: 	: u	: u	31 	: u	195 	: u	: u	: 	266 	: 	: 	: 
A,OWN,WORLD,GT10,THS_T,AT	166 	65 	107 	131 	107 	113 	89 	66 	109 	84 	62 	75 	160 	246 	222 
A,OWN,WORLD,GT10,THS_T,BE	189 	142 	147 	93 	40 	83 	82 	154 	: u	: u	: u	134 	: u	246 	: u
A,OWN,WORLD,GT10,THS_T,BG	: 	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 
A,OWN,WORLD,GT10,THS_T,CH	: u	54 	: u	69 	: u	63 	54 	: u	: u	14 	32 	: u	: u	: u	: u
A,OWN,WORLD,GT10,THS_T,CZ	279 	54 	63 	135 	130 	117 	132 	121 	134 	106 	133 	145 	45 	92 	122 
A,OWN,WORLD,GT10,THS_T,DE	461 	225 	235 	188 	225 	168 	250 	163 	255 	315 	182 	185 	207 	202 	245 
A,OWN,WORLD,GT10,THS_T,EE	: 	: 	: u	: u	: 	: u	: u	: 	: u	: u	: 	: 	: u	: 	: u
A,OWN,WORLD,GT10,THS_T,ES	: u	: u	: u	: u	: u	: u	: u	: 	: u	24 	: u	: u	: u	: u	: u
A,OWN,WORLD,GT10,THS_T,FI	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT10,THS_T,FR	89 	57 	: u	88 	: u	: u	: u	: u	: u	210 	: u	: u	: u	: u	: u
A,OWN,WORLD,GT10,THS_T,HR	: u	: u	: u	: u	: u	: u	26 	: u	38 	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT10,THS_T,HU	28 	50 	59 	34 	30 	28 	27 	21 	33 	48 	42 	33 	19 	41 	30 
A,OWN,WORLD,GT10,THS_T,IE	225 	83 	18 	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u	: u
A,OWN,WORLD,GT10,THS_T,IT	24 	25 	: u	: u	: u	: u	59 	: u	: u	: u	: u	: u	: u	89 	41 
A,OWN,WORLD,GT10,THS_T,LI	: u	2 	: u	7 	: u	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT10,THS_T,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	29 	: 	: u	: 
A,OWN,WORLD,GT10,THS_T,LU	21 	28 	43 	83 	41 	89 	251 	329 	294 	321 	388 	474 	493 	586 	438 
A,OWN,WORLD,GT10,THS_T,LV	: u	: u	: 	: u	: u	: u	: u	: 	: u	: u	: u	: 	: 	: u	: u
A,OWN,WORLD,GT10,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 
A,OWN,WORLD,GT10,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33 	34 	: 
A,OWN,WORLD,GT10,THS_T,NL	231 	307 	215 	479 	241 	229 	240 	326 	228 	130 	124 	336 	114 	206 	156 
A,OWN,WORLD,GT10,THS_T,NO	: u	: 	: u	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u	: 	: u
A,OWN,WORLD,GT10,THS_T,PL	125 	217 	222 	432 	312 	130 	191 	83 	195 	206 	133 	296 	280 	125 	402 
A,OWN,WORLD,GT10,THS_T,PT	: u	55 	: u	53 	: u	: u	: u	32 	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT10,THS_T,RO	114 	99 	: u	87 	66 	86 	56 	40 	53 	72 	58 	43 	: u	98 	67 
A,OWN,WORLD,GT10,THS_T,SE	: u	: 	: u	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: u
A,OWN,WORLD,GT10,THS_T,SI	51 	29 	68 	42 	58 	44 	55 	91 	64 	60 	81 	17 	: u	54 	98 
A,OWN,WORLD,GT10,THS_T,SK	: u	53 	: u	44 	40 	95 	47 	74 	: u	47 	94 	21 	45 	: u	96 
A,OWN,WORLD,GT10,THS_T,UK	: u	: u	: u	122 	: u	45 	6 	: u	47 	: u	: u	: u	: 	: 	: 
A,OWN,WORLD,GT11,THS_T,AT	52 	24 	51 	40 	27 	14 	45 	19 	24 	19 	12 	15 	35 	84 	62 
A,OWN,WORLD,GT11,THS_T,BE	62 	52 	44 	59 	32 	35 	26 	117 	158 	115 	: u	166 	: u	91 	: u
A,OWN,WORLD,GT11,THS_T,BG	: u	: u	: 	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u	: u	: 
A,OWN,WORLD,GT11,THS_T,CH	: u	: 	20 	: u	: u	: u	: u	: 	: u	: u	3 	: 	: 	: u	: u
A,OWN,WORLD,GT11,THS_T,CZ	: u	51 	: u	: u	106 	102 	93 	57 	51 	58 	: u	: u	: u	: u	37 
A,OWN,WORLD,GT11,THS_T,DE	187 	77 	108 	99 	62 	73 	17 	53 	78 	57 	33 	27 	36 	35 	30 
A,OWN,WORLD,GT11,THS_T,DK	: 	: 	: 	: 	: u	: u	: u	: 	: 	: 	: u	: 	: 	: 	: 
A,OWN,WORLD,GT11,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: u	: 	: 	: u
A,OWN,WORLD,GT11,THS_T,EL	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT11,THS_T,ES	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT11,THS_T,FI	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT11,THS_T,FR	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,OWN,WORLD,GT11,THS_T,HR	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u	: u	: 	: u	: u	: u
A,OWN,WORLD,GT11,THS_T,HU	64 	82 	120 	58 	165 	67 	78 	42 	24 	16 	32 	25 	15 	54 	27 
A,OWN,WORLD,GT11,THS_T,IE	57 	24 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT11,THS_T,IT	: u	: 	: u	: u	: 	: u	: u	: 	: u	: u	: 	: 	: 	: u	: 
A,OWN,WORLD,GT11,THS_T,LI	8 	5 	7 	9 	11 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT11,THS_T,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: 
A,OWN,WORLD,GT11,THS_T,LU	20 	24 	29 	24 	34 	21 	21 	4 	20 	39 	25 	54 	21 	33 	39 
A,OWN,WORLD,GT11,THS_T,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u
A,OWN,WORLD,GT11,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	13 	: 
A,OWN,WORLD,GT11,THS_T,NL	194 	156 	154 	210 	203 	216 	279 	408 	268 	321 	296 	361 	327 	470 	354 
A,OWN,WORLD,GT11,THS_T,NO	: u	: u	: 	: u	: u	: u	: u	: u	: 	: 	: 	: u	: u	: 	: 
A,OWN,WORLD,GT11,THS_T,PL	91 	84 	134 	119 	203 	122 	59 	: u	62 	: u	: u	83 	: u	124 	90 
A,OWN,WORLD,GT11,THS_T,PT	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: 	: u
A,OWN,WORLD,GT11,THS_T,RO	59 	117 	64 	58 	45 	34 	22 	28 	26 	50 	77 	105 	: u	55 	: u
A,OWN,WORLD,GT11,THS_T,SE	: u	: u	: 	: u	: u	: u	: 	: 	: u	: u	: u	: 	: 	: u	: 
A,OWN,WORLD,GT11,THS_T,SI	96 	39 	20 	8 	: u	18 	: u	: u	19 	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT11,THS_T,SK	35 	: u	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT11,THS_T,UK	: u	: u	: u	46 	44 	60 	63 	26 	58 	25 	74 	88 	: 	: 	: 
A,OWN,WORLD,GT12,THS_T,AT	13 	13 	8 	24 	14 	11 	: u	16 	12 	21 	18 	24 	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,BE	16 	10 	8 	12 	: u	: u	: u	: u	: u	: u	: 	: u	: 	: u	: u
A,OWN,WORLD,GT12,THS_T,BG	: 	: 	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u
A,OWN,WORLD,GT12,THS_T,CH	: 	: u	: 	: u	: u	: u	: 	: u	: u	: 	: 	: u	: 	: 	: u
A,OWN,WORLD,GT12,THS_T,CZ	: u	: u	35 	: u	25 	: u	29 	: u	: u	: u	: u	: u	21 	81 	26 
A,OWN,WORLD,GT12,THS_T,DE	137 	206 	104 	122 	122 	78 	63 	138 	68 	98 	59 	41 	49 	44 	32 
A,OWN,WORLD,GT12,THS_T,DK	: 	: 	: 	: 	: 	: u	: 	: u	: 	: u	: 	: 	: 	: 	: u
A,OWN,WORLD,GT12,THS_T,EL	: u	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT12,THS_T,ES	: u	: u	: 	: u	: 	: 	: 	: u	: u	: 	: u	: 	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,FR	: u	62 	50 	56 	: u	: u	: u	73 	105 	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,HR	: u	: 	: u	: 	: 	: u	: 	: u	: 	: u	: 	: u	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,HU	: u	: u	18 	12 	: u	: u	: u	: u	10 	35 	7 	14 	: u	5 	7 
A,OWN,WORLD,GT12,THS_T,IE	: 	: u	: u	: u	: u	: 	: u	: u	: u	: u	: 	: 	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,IT	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,LT	105 	62 	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: 
A,OWN,WORLD,GT12,THS_T,LU	: u	: u	: u	: 	: u	35 	36 	34 	209 	47 	37 	38 	45 	126 	49 
A,OWN,WORLD,GT12,THS_T,LV	: 	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT12,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,OWN,WORLD,GT12,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	4 	: 
A,OWN,WORLD,GT12,THS_T,NL	76 	144 	50 	24 	66 	80 	131 	85 	110 	61 	72 	67 	55 	36 	130 
A,OWN,WORLD,GT12,THS_T,NO	: u	: u	: 	: u	9 	: u	: u	: u	: u	12 	: u	: u	: 	: 	: 
A,OWN,WORLD,GT12,THS_T,PL	122 	36 	33 	84 	46 	: u	67 	82 	57 	120 	213 	173 	155 	163 	113 
A,OWN,WORLD,GT12,THS_T,PT	: u	: u	: u	: u	72 	: u	23 	: u	: u	: u	: u	: u	: u	: 	: 
A,OWN,WORLD,GT12,THS_T,RO	: u	: u	43 	36 	64 	41 	44 	52 	114 	62 	93 	91 	90 	74 	81 
A,OWN,WORLD,GT12,THS_T,SE	: u	: 	: 	: u	: 	: u	: u	: 	: 	: u	: 	: u	: 	: u	: u
A,OWN,WORLD,GT12,THS_T,SI	: u	: u	: u	: u	: u	: u	: u	24 	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,SK	: u	26 	: u	: u	: u	: u	: u	: u	: u	22 	: u	: u	: u	: u	: u
A,OWN,WORLD,GT12,THS_T,UK	: u	: u	: u	: u	23 	20 	9 	: u	7 	13 	57 	13 	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,AT	129 	108 	92 	136 	123 	123 	121 	99 	74 	115 	141 	123 	12 	42 	75 
A,OWN,WORLD,GT13,THS_T,BE	65 	28 	96 	26 	: u	29 	9 	: u	: u	: u	: u	100 	: u	99 	: u
A,OWN,WORLD,GT13,THS_T,BG	: u	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 
A,OWN,WORLD,GT13,THS_T,CH	: u	: u	: 	: u	: u	: 	: u	: u	: u	5 	: u	: 	3 	: u	: u
A,OWN,WORLD,GT13,THS_T,CZ	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u	: u	: u	: u	53 
A,OWN,WORLD,GT13,THS_T,DE	21 	: u	31 	27 	: u	19 	28 	21 	19 	: u	31 	60 	: u	: u	14 
A,OWN,WORLD,GT13,THS_T,DK	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,EE	: 	: u	: 	: 	: u	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,EL	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,ES	: u	: u	: u	: 	: u	: u	: u	: 	: 	: 	: 	: u	: 	: 	: u
A,OWN,WORLD,GT13,THS_T,FI	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,FR	: u	: u	: u	: u	: 	: 	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT13,THS_T,HR	: u	: 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: u	: 	: u
A,OWN,WORLD,GT13,THS_T,HU	38 	47 	44 	: u	: u	11 	: u	33 	15 	4 	: u	: u	8 	: u	: u
A,OWN,WORLD,GT13,THS_T,IE	: u	: u	30 	: u	: u	: u	21 	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT13,THS_T,IT	: u	: 	: 	: 	: 	: u	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,LT	: u	: u	: 	: 	: u	: 	: u	: u	: u	: u	: u	: u	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,LU	: 	: 	: u	: u	: u	: u	: u	: u	3 	2 	3 	: u	: 	: u	2 
A,OWN,WORLD,GT13,THS_T,LV	: u	: 	: u	: 	: 	: 	: 	: u	: u	: 	: 	: u	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
A,OWN,WORLD,GT13,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 
A,OWN,WORLD,GT13,THS_T,NL	28 	: u	28 	23 	32 	3 	35 	12 	5 	: u	30 	12 	4 	: u	16 
A,OWN,WORLD,GT13,THS_T,NO	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: u	: 	: u	: 	: 
A,OWN,WORLD,GT13,THS_T,PL	22 	52 	49 	39 	30 	85 	17 	: u	34 	: u	: u	: u	59 	38 	59 
A,OWN,WORLD,GT13,THS_T,PT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 
A,OWN,WORLD,GT13,THS_T,RO	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u
A,OWN,WORLD,GT13,THS_T,SE	: 	: 	: u	: u	: 	: u	: 	: 	: 	: 	: 	: 	: u	: u	: u
A,OWN,WORLD,GT13,THS_T,SI	: u	: u	: u	29 	: u	22 	55 	98 	39 	79 	37 	55 	: u	48 	: u
A,OWN,WORLD,GT13,THS_T,SK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	15 	10 	27 	: u
